                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9206,                 3.5572,                 4.3344,                0.00323,                0.77049,                0.01033,                0.00389,                 2.6856,                 3.7614,                 4.1587,                  6e-05,                  6e-05,                  6e-05
                      2,                 2.9183,                 3.6448,                 4.3751,                0.00333,                0.77049,                0.02641,                0.00743,                  2.685,                 3.7614,                 4.1581,             0.00013723,             0.00013723,             0.00013723
                      3,                 2.9967,                  3.479,                 4.2328,                0.00319,                 0.7377,                0.02434,                0.00784,                  2.684,                 3.7599,                 4.1569,             0.00021129,             0.00021129,             0.00021129
                      4,                 2.9815,                 3.5174,                 4.2129,                 0.0033,                 0.7541,                0.02241,                0.00661,                  2.682,                 3.7588,                 4.1545,             0.00028218,             0.00028218,             0.00028218
                      5,                 3.1655,                   3.66,                 4.2376,                0.00327,                 0.7541,                0.02533,                0.00724,                 2.6802,                 3.7579,                 4.1523,              0.0003499,              0.0003499,              0.0003499
                      6,                 3.1725,                 3.5908,                 4.1948,                0.00328,                 0.7541,                0.02615,                0.00742,                 2.6778,                 3.7544,                 4.1488,             0.00041446,             0.00041446,             0.00041446
                      7,                 3.3779,                 3.5399,                 4.1532,                0.00337,                0.77049,                0.03311,                0.00839,                 2.6751,                 3.7478,                 4.1443,             0.00047585,             0.00047585,             0.00047585
                      8,                 2.8543,                 3.4342,                 4.1494,                0.00335,                0.77049,                0.02788,                0.00724,                 2.6732,                 3.7376,                 4.1398,             0.00053407,             0.00053407,             0.00053407
                      9,                 3.1683,                 3.7632,                 4.0862,                0.00317,                 0.7377,                0.03997,                0.01147,                 2.6716,                 3.7275,                 4.1353,             0.00058912,             0.00058912,             0.00058912
                     10,                 2.8755,                 3.4714,                 4.0448,                0.00314,                 0.7377,                0.02618,                0.00752,                 2.6747,                 3.7152,                 4.1364,               0.000641,               0.000641,               0.000641
                     11,                 2.9359,                 3.3225,                 4.0592,                0.00313,                 0.7377,                0.02742,                0.00778,                 2.6825,                 3.6971,                 4.1412,             0.00068972,             0.00068972,             0.00068972
                     12,                 2.8994,                 3.4405,                 3.9877,                0.00325,                 0.7541,                0.03484,                0.00926,                 2.6869,                 3.6868,                  4.142,             0.00073527,             0.00073527,             0.00073527
                     13,                 2.7838,                 3.3571,                 3.9186,                0.00319,                 0.7541,                0.03941,                0.01144,                 2.6936,                 3.6727,                 4.1429,             0.00077765,             0.00077765,             0.00077765
                     14,                 3.0076,                 3.2954,                   3.94,                 0.0032,                 0.7541,                0.01985,                0.00636,                 2.7045,                 3.6446,                 4.1651,             0.00081686,             0.00081686,             0.00081686
                     15,                 2.6543,                 3.2098,                 3.7726,                0.00317,                 0.7541,                0.01298,                0.00442,                 2.7395,                 3.5809,                 4.2326,              0.0008529,              0.0008529,              0.0008529
                     16,                 3.0269,                 3.2898,                 3.7284,                0.00318,                 0.7541,                0.02642,                0.00824,                 2.7422,                 3.5675,                 4.2461,             0.00088578,             0.00088578,             0.00088578
                     17,                 2.9266,                 3.1117,                  3.787,                0.00318,                 0.7541,                0.08785,                0.02071,                  2.717,                 3.5782,                 4.2051,             0.00091549,             0.00091549,             0.00091549
                     18,                 3.2241,                 3.5364,                 3.8465,                0.00316,                 0.7541,                0.05352,                0.01497,                 2.7323,                 3.5604,                  4.271,             0.00094203,             0.00094203,             0.00094203
                     19,                 2.9653,                 3.1042,                 3.7296,                0.00326,                0.77049,                0.04512,                0.01349,                 2.8022,                  3.586,                 4.3984,              0.0009654,              0.0009654,              0.0009654
                     20,                 3.0714,                 3.0467,                 3.6984,                0.00334,                0.77049,                0.01846,                0.00655,                 2.8235,                 3.6078,                 4.4114,              0.0009856,              0.0009856,              0.0009856
                     21,                 2.9158,                 3.0787,                 3.6666,                0.00327,                 0.7541,                0.01346,                0.00457,                 2.8195,                 3.6176,                 4.3595,              0.0010026,              0.0010026,              0.0010026
                     22,                 2.8273,                 2.9825,                  3.587,                0.00696,                0.54098,                0.01437,                0.00501,                  2.875,                 3.7043,                 4.5528,              0.0010165,              0.0010165,              0.0010165
                     23,                 2.7067,                 2.9019,                 3.5138,                0.00748,                0.55738,                 0.0142,                 0.0047,                 2.8777,                 3.7488,                  4.619,              0.0010272,              0.0010272,              0.0010272
                     24,                 3.0292,                 3.1013,                 3.6072,                 0.0084,                0.55738,                0.01381,                 0.0051,                 2.8688,                 3.7635,                 4.6228,              0.0010347,              0.0010347,              0.0010347
                     25,                 2.9778,                  3.205,                 3.5709,                0.00755,                0.55738,                0.01388,                0.00484,                 2.8652,                 3.7578,                 4.6021,              0.0010391,              0.0010391,              0.0010391
                     26,                 3.0873,                 2.9622,                  3.596,                 0.0073,                0.55738,                0.01423,                0.00494,                 2.8656,                 3.7413,                   4.58,                0.00101,                0.00101,                0.00101
                     27,                 2.8935,                 2.9132,                 3.4374,                0.00804,                0.65574,                0.01364,                0.00506,                 2.8613,                  3.714,                 4.5709,                0.00101,                0.00101,                0.00101
                     28,                 2.7099,                 2.8682,                 3.3606,                0.00368,                 0.7541,                0.03043,                0.01281,                 2.8424,                 3.6949,                 4.5481,              0.0009704,              0.0009704,              0.0009704
                     29,                 2.7425,                 3.0593,                 3.4395,                0.00358,                 0.7377,                  0.024,                0.00993,                 2.8175,                 3.6773,                  4.517,              0.0009308,              0.0009308,              0.0009308
                     30,                 2.8545,                 2.8908,                 3.4591,                0.29776,                0.03279,                0.03012,                0.00997,                 2.7915,                 3.6483,                 4.4533,              0.0008912,              0.0008912,              0.0008912
                     31,                  2.884,                 2.8723,                 3.5434,                0.29494,                0.03279,                0.02947,                0.00845,                 2.7941,                 3.6404,                 4.4019,              0.0008516,              0.0008516,              0.0008516
                     32,                 2.7929,                 2.9642,                 3.3896,                0.21765,                0.03279,                0.05125,                0.01508,                 2.7621,                 3.5676,                 4.2985,               0.000812,               0.000812,               0.000812
                     33,                 2.9904,                 2.8908,                 3.4051,                0.18954,                0.13115,                0.08445,                0.02501,                 2.7805,                 3.4753,                 4.2274,              0.0007724,              0.0007724,              0.0007724
                     34,                 2.6597,                  2.686,                 3.2947,                0.25131,                0.14754,                0.09579,                0.03777,                 2.7262,                 3.3617,                 4.0801,              0.0007328,              0.0007328,              0.0007328
                     35,                 2.6936,                 2.8198,                 3.3598,                0.28106,                0.21311,                0.12771,                0.04909,                 2.6611,                  3.322,                 3.9137,              0.0006932,              0.0006932,              0.0006932
                     36,                 2.9834,                  2.839,                 3.4296,                0.26564,                0.23728,                0.12532,                0.05009,                 2.5968,                 3.2975,                 3.7886,              0.0006536,              0.0006536,              0.0006536
                     37,                 2.6632,                 2.6352,                 3.3365,                 0.1653,                0.14754,                0.11942,                0.05028,                 2.5422,                 3.2791,                 3.6188,               0.000614,               0.000614,               0.000614
                     38,                 2.9031,                 2.8866,                 3.4724,                0.18999,                0.13115,                0.12978,                0.05125,                 2.4694,                 3.2322,                 3.4705,              0.0005744,              0.0005744,              0.0005744
                     39,                 2.9185,                 2.7498,                 3.4284,                0.26333,                0.13115,                 0.1304,                0.05342,                 2.3985,                 3.1464,                 3.3959,              0.0005348,              0.0005348,              0.0005348
                     40,                 2.7013,                  2.792,                 3.2782,                0.22541,                0.11475,                0.12939,                 0.0546,                 2.3546,                 3.1516,                 3.3409,              0.0004952,              0.0004952,              0.0004952
                     41,                 2.4073,                 3.0951,                  3.111,                0.21567,                0.14754,                0.12853,                0.05487,                 2.3671,                 3.2014,                  3.292,              0.0004556,              0.0004556,              0.0004556
                     42,                 2.5737,                 3.3498,                 3.2997,                0.18535,                0.22951,                 0.1184,                0.04635,                 2.3811,                 3.2061,                 3.2767,               0.000416,               0.000416,               0.000416
                     43,                 2.8758,                 3.2439,                 3.2771,                0.22513,                0.22951,                0.14138,                 0.0617,                 2.3705,                 3.2022,                 3.2612,              0.0003764,              0.0003764,              0.0003764
                     44,                 2.5061,                  3.007,                 3.1783,                0.23746,                0.16393,                0.13641,                0.06131,                 2.3767,                 3.2452,                 3.2727,              0.0003368,              0.0003368,              0.0003368
                     45,                 2.5259,                 3.1301,                 3.2266,                0.23928,                0.16393,                0.12981,                0.04528,                 2.3853,                  3.275,                 3.3015,              0.0002972,              0.0002972,              0.0002972
                     46,                 2.4602,                 3.1233,                 3.2098,                0.21516,                0.14754,                0.14723,                0.05234,                 2.3859,                 3.1932,                 3.2842,              0.0002576,              0.0002576,              0.0002576
                     47,                 2.5143,                 3.4273,                 3.2124,                0.25648,                0.17539,                0.18138,                0.06309,                 2.3801,                  3.085,                 3.2728,               0.000218,               0.000218,               0.000218
                     48,                  2.532,                 3.0694,                 3.3252,                0.24233,                0.19672,                 0.1865,                0.07133,                 2.3583,                 2.9766,                 3.2496,              0.0001784,              0.0001784,              0.0001784
                     49,                 2.5718,                 3.0109,                 3.3694,                0.27065,                0.22951,                0.21557,                0.08465,                 2.3414,                 2.9293,                 3.2384,              0.0001388,              0.0001388,              0.0001388
                     50,                 2.3698,                 2.9202,                  3.173,                0.29075,                 0.2459,                0.23205,                0.09217,                 2.3352,                 2.9024,                 3.2271,               9.92e-05,               9.92e-05,               9.92e-05
